SrcIP,DstIP,SrcPort,DstPort,TransportLayer,UpTimeMean,UpTimeStd,UpTimeMin,UpTimeMax,DownTimeMean,DownTimeStd,DownTimeMin,DownTimeMax,TimeMean,TimeStd,TimeMin,TimeMax,UpPacketLenMean,UpPacketLenStd,UpPacketLenMin,UpPacketLenMax,DownPacketLenMean,DownPacketLenStd,DownPacketLenMin,DownPacketLenMax,PacketLenMean,PacketLenStd,PacketLenMin,PacketLenMax,Duration,UpPacketNum,UpPacketNumMinute,DownPacketNum,DownPacketNumMinute,PacketNum,PacketNumMinute,DownUpPacketPercent,UpHeadLenPercent,DownHeadLenPercent,ExtensionNum,ServerName
192.168.11.206,95.216.195.133,35860,80,0,0.1099,0.1098,0.0001,0.2240,0.1092,0.1090,0.0000,0.2213,0.0734,0.1037,0.0000,0.2240,85.2000,1192.9600,0.0000,154.0000,108.4000,6538.2400,0.0000,270.0000,96.8000,4000.1600,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.0000,270.0000,0.6607,5,454.0328,5,454.0328,10,908.0657,1.0000,0.7934,0.6236,0,
192.168.11.206,95.216.195.133,35782,80,0,0.1257,0.1257,0.0001,0.2572,0.1209,0.1209,0.0000,0.2455,0.0823,0.1164,0.0000,0.2572,85.2000,1192.9600,0.0000,154.0000,108.4000,6538.2400,0.0000,270.0000,96.8000,4000.1600,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.0000,270.0000,0.7408,5,404.9844,5,404.9844,10,809.9689,1.0000,0.7934,0.6236,0,
192.168.11.206,95.216.195.133,35746,80,0,0.0799,0.0979,0.0000,0.2061,0.0800,0.0929,0.0000,0.1936,0.0539,0.0855,0.0000,0.1935,84.0000,1001.3333,0.0000,154.0000,99.3333,5847.5556,0.0000,270.0000,91.6667,3483.2222,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.0000,270.0000,0.5932,6,606.8359,6,606.8359,12,1213.6718,1.0000,0.8254,0.6577,0,
192.168.11.206,95.216.195.133,35862,80,0,0.1191,0.1190,0.0000,0.2394,0.1220,0.1219,0.0000,0.2487,0.0806,0.1139,0.0000,0.2486,85.2000,1192.9600,0.0000,154.0000,108.4000,6538.2400,0.0000,270.0000,96.8000,4000.1600,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.0000,270.0000,0.7250,5,413.7916,5,413.7916,10,827.5833,1.0000,0.7934,0.6236,0,
192.168.11.206,95.216.195.133,35864,80,0,0.1212,0.0989,0.0001,0.2054,0.0819,0.1001,0.0000,0.2050,0.0551,0.0898,0.0000,0.2049,80.0000,1129.3333,0.0000,154.0000,101.3333,5698.2222,0.0000,270.0000,90.6667,3527.5556,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.0000,270.0000,0.6059,6,594.1600,6,594.1600,12,1188.3201,1.0000,0.8167,0.6645,0,
192.168.11.206,212.50.246.217,46038,39710,0,0.8979,1.5661,0.0000,6.5380,1.0001,1.6225,0.0000,6.5382,0.4611,1.1879,0.0000,6.4784,207.2500,53985.0875,0.0000,776.0000,287.7222,201509.5340,0.0000,1514.0000,245.3684,125479.5485,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.0000,1514.0000,17.0606,20,70.3375,18,63.3037,38,133.6412,0.9000,0.3204,0.2309,0,
192.168.11.206,212.50.246.217,46066,39710,0,0.6318,1.4645,0.0000,7.5807,0.6800,1.5106,0.0000,7.5817,0.3219,1.0767,0.0000,7.5220,206.6071,52251.8099,0.0000,790.0000,368.3462,257345.6109,0.0000,1514.0000,284.4815,157531.5830,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.0000,1514.0000,17.0589,28,98.4824,26,91.4479,54,189.9303,0.9286,0.3208,0.1800,0,
192.168.11.206,212.50.246.217,46086,39710,0,0.8124,1.4907,0.0000,6.6318,0.7728,1.4685,0.0000,6.6322,0.3877,1.0895,0.0000,6.5738,215.9091,48994.8099,0.0000,708.0000,408.5217,332825.2060,0.0000,2114.0000,314.3556,203334.0069,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.0000,2114.0000,17.0597,22,77.3751,23,80.8922,45,158.2673,1.0455,0.3074,0.1624,0,
192.168.11.206,95.216.195.133,35772,80,0,0.1250,0.1249,0.0001,0.2505,0.1016,0.1244,0.0000,0.2576,0.0757,0.1156,0.0000,0.2575,85.2000,1192.9600,0.0000,154.0000,100.3333,5773.8889,0.0000,270.0000,93.4545,3748.4298,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.0000,270.0000,0.7574,5,396.0882,6,475.3059,11,871.3941,1.2000,0.7934,0.6611,0,
192.168.11.206,95.216.195.133,35868,80,0,0.1160,0.1159,0.0000,0.2339,0.1080,0.1083,0.0000,0.2296,0.0740,0.1048,0.0000,0.2339,85.2000,1192.9600,0.0000,154.0000,108.4000,6538.2400,0.0000,270.0000,96.8000,4000.1600,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.0000,270.0000,0.6658,5,450.5715,5,450.5715,10,901.1429,1.0000,0.7934,0.6236,0,
192.168.11.206,95.216.195.133,35774,80,0,0.1137,0.1137,0.0000,0.2302,0.1145,0.1142,0.0000,0.2332,0.0765,0.1079,0.0000,0.2331,85.2000,1192.9600,0.0000,154.0000,108.4000,6538.2400,0.0000,270.0000,96.8000,4000.1600,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.0000,270.0000,0.6881,5,435.9857,5,435.9857,10,871.9715,1.0000,0.7934,0.6236,0,
192.168.11.206,95.216.195.133,35748,80,0,0.0994,0.0993,0.0001,0.2024,0.0996,0.0958,0.0000,0.1957,0.0659,0.0914,0.0000,0.1956,85.2000,1192.9600,0.0000,154.0000,108.4000,6538.2400,0.0000,270.0000,96.8000,4000.1600,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.0000,270.0000,0.5932,5,505.7649,5,505.7649,10,1011.5298,1.0000,0.7934,0.6236,0,
192.168.11.206,212.50.246.217,46112,39710,0,0.8124,1.2116,0.0000,3.5715,0.7694,1.1958,0.0000,3.5717,0.3877,0.9090,0.0000,3.5120,213.0909,48865.8099,0.0000,704.0000,402.6957,332627.1682,0.0000,2114.0000,310.0000,202882.4444,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.0000,2114.0000,17.0600,22,77.3742,23,80.8912,45,158.2654,1.0455,0.3114,0.1648,0,
192.168.11.206,212.50.246.217,46056,39710,0,0.6318,1.4146,0.0000,7.3090,0.6800,1.4576,0.0000,7.3091,0.3219,1.0422,0.0000,7.2506,201.2143,50616.8827,0.0000,773.0000,369.0385,255078.7293,0.0000,1514.0000,282.0185,156093.0552,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.0000,1514.0000,17.0589,28,98.4824,26,91.4479,54,189.9303,0.9286,0.3294,0.1797,0,
192.168.11.206,212.50.246.217,46102,39710,0,0.8123,1.4018,0.0001,5.5231,0.7727,1.3830,0.0000,5.5229,0.3877,1.0316,0.0000,5.4642,217.9545,50800.5888,0.0000,692.0000,406.9565,334181.6068,0.0000,2114.0000,314.5556,204565.8025,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.0000,2114.0000,17.0588,22,77.3793,23,80.8965,45,158.2758,1.0455,0.3045,0.1630,0,
192.168.11.206,95.216.195.133,35758,80,0,0.1015,0.1014,0.0000,0.2056,0.1044,0.1043,0.0000,0.2118,0.0686,0.0970,0.0000,0.2118,85.2000,1192.9600,0.0000,154.0000,108.4000,6538.2400,0.0000,270.0000,96.8000,4000.1600,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.0000,270.0000,0.6176,5,485.7215,5,485.7215,10,971.4429,1.0000,0.7934,0.6236,0,
192.168.11.206,212.50.246.217,46058,39710,0,0.6318,1.4682,0.0000,7.5993,0.6800,1.5146,0.0000,7.5996,0.3219,1.0794,0.0000,7.5408,207.0357,53390.7487,0.0000,759.0000,369.4231,256582.3210,0.0000,1514.0000,285.2222,157807.0988,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.0000,1514.0000,17.0591,28,98.4810,26,91.4466,54,189.9276,0.9286,0.3202,0.1795,0,
192.168.11.206,95.216.195.133,35794,80,0,0.1534,0.1253,0.0001,0.2604,0.1013,0.1239,0.0000,0.2598,0.0697,0.1138,0.0000,0.2604,80.0000,1129.3333,0.0000,154.0000,101.3333,5698.2222,0.0000,270.0000,90.6667,3527.5556,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.0000,270.0000,0.7670,6,469.3749,6,469.3749,12,938.7499,1.0000,0.8167,0.6645,0,
192.168.11.206,95.216.195.133,35776,80,0,0.1203,0.1203,0.0001,0.2446,0.1155,0.1153,0.0000,0.2362,0.0785,0.1110,0.0000,0.2446,85.2000,1192.9600,0.0000,154.0000,108.4000,6538.2400,0.0000,270.0000,96.8000,4000.1600,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.0000,270.0000,0.7065,5,424.6404,5,424.6404,10,849.2807,1.0000,0.7934,0.6236,0,
192.168.11.206,95.216.195.133,35900,80,0,0.1234,0.1233,0.0000,0.2480,0.1159,0.1163,0.0000,0.2455,0.0791,0.1121,0.0000,0.2480,85.2000,1192.9600,0.0000,154.0000,108.4000,6538.2400,0.0000,270.0000,96.8000,4000.1600,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.0000,270.0000,0.7118,5,421.4913,5,421.4913,10,842.9826,1.0000,0.7934,0.6236,0,
192.168.11.206,212.50.246.217,46104,39710,0,0.8979,1.4689,0.0000,5.5772,1.0000,1.5176,0.0000,5.5771,0.4611,1.1225,0.0000,5.5183,201.7500,54779.6875,0.0000,799.0000,290.4444,202089.4691,0.0000,1514.0000,243.7632,126519.2334,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.0000,1514.0000,17.0604,20,70.3385,18,63.3047,38,133.6432,0.9000,0.3291,0.2288,0,
192.168.11.206,212.50.246.217,46128,39710,0,0.8124,1.6487,0.0000,7.5306,0.7728,1.6222,0.0000,7.5308,0.3877,1.1932,0.0000,7.4721,214.7273,52789.1983,0.0000,701.0000,405.4783,327301.4669,0.0000,2114.0000,312.2222,202187.4617,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.0000,2114.0000,17.0600,22,77.3739,23,80.8909,45,158.2647,1.0455,0.3091,0.1636,0,
192.168.11.206,212.50.246.217,46048,39710,0,0.8124,1.5054,0.0000,6.8878,0.7727,1.4815,0.0000,6.8878,0.3877,1.0987,0.0000,6.8278,214.8636,49897.7541,0.0000,688.0000,408.5217,331756.6843,0.0000,2114.0000,313.8444,203330.2202,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.0000,2114.0000,17.0605,22,77.3716,23,80.8885,45,158.2601,1.0455,0.3089,0.1624,0,
192.168.11.206,95.216.195.133,35760,80,0,0.1163,0.1162,0.0000,0.2336,0.1147,0.1138,0.0000,0.2296,0.0769,0.1084,0.0000,0.2336,85.2000,1192.9600,0.0000,154.0000,108.4000,6538.2400,0.0000,270.0000,96.8000,4000.1600,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.0000,270.0000,0.6925,5,433.2036,5,433.2036,10,866.4073,1.0000,0.7934,0.6236,0,
192.168.11.206,95.216.195.133,35778,80,0,0.1110,0.1111,0.0000,0.2318,0.1168,0.1168,0.0000,0.2354,0.0755,0.1069,0.0000,0.2353,85.2000,1192.9600,0.0000,154.0000,108.4000,6538.2400,0.0000,270.0000,96.8000,4000.1600,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.0000,270.0000,0.6793,5,441.6451,5,441.6451,10,883.2902,1.0000,0.7934,0.6236,0,
192.168.11.206,212.50.246.217,46060,39710,0,0.6318,1.4656,0.0000,7.5864,0.6539,1.4881,0.0000,7.5864,0.3159,1.0685,0.0000,7.5277,204.8571,52401.5510,0.0000,805.0000,362.0000,248992.7407,0.0000,1514.0000,282.0000,155081.3818,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.0000,1514.0000,17.0594,28,98.4795,27,94.9624,55,193.4419,0.9643,0.3236,0.1831,0,
192.168.11.206,95.216.195.133,35762,80,0,0.1224,0.1222,0.0001,0.2447,0.1252,0.1252,0.0000,0.2558,0.0828,0.1170,0.0000,0.2557,85.2000,1192.9600,0.0000,154.0000,108.4000,6538.2400,0.0000,270.0000,96.8000,4000.1600,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.0000,270.0000,0.7454,5,402.4587,5,402.4587,10,804.9174,1.0000,0.7934,0.6236,0,
192.168.11.206,95.216.195.133,35796,80,0,0.1105,0.1104,0.0000,0.2219,0.0895,0.1096,0.0000,0.2275,0.0669,0.1022,0.0000,0.2274,85.2000,1192.9600,0.0000,154.0000,100.3333,5773.8889,0.0000,270.0000,93.4545,3748.4298,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.0000,270.0000,0.6694,5,448.1557,6,537.7868,11,985.9424,1.2000,0.7934,0.6611,0,
192.168.11.206,212.50.246.217,46050,39710,0,0.8979,1.5585,0.0000,6.5294,1.0001,1.6123,0.0000,6.5297,0.4611,1.1831,0.0000,6.4711,201.1000,48995.0900,0.0000,752.0000,287.0000,201798.1111,0.0000,1514.0000,241.7895,123215.0609,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.0000,1514.0000,17.0597,20,70.3414,18,63.3073,38,133.6487,0.9000,0.3302,0.2315,0,
192.168.11.206,212.50.246.217,46062,39710,0,0.6318,1.4599,0.0000,7.5607,0.6800,1.5041,0.0000,7.5605,0.3219,1.0731,0.0000,7.5014,205.1429,52621.7653,0.0000,801.0000,371.1538,255434.9763,0.0000,1514.0000,285.0741,157153.0316,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.0000,1514.0000,17.0595,28,98.4790,26,91.4447,54,189.9237,0.9286,0.3231,0.1787,0,
192.168.11.206,95.216.195.133,35764,80,0,0.1210,0.1210,0.0000,0.2430,0.1226,0.1225,0.0000,0.2495,0.0815,0.1152,0.0000,0.2494,85.2000,1192.9600,0.0000,154.0000,108.4000,6538.2400,0.0000,270.0000,96.8000,4000.1600,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.0000,270.0000,0.7335,5,408.9740,5,408.9740,10,817.9480,1.0000,0.7934,0.6236,0,
